,tick0,tick1,tick2,tick4
GO:0000001,0,1,2,1
GO:0000002,3,7,5,1
GO:0000003,416,595,334,315
GO:0000009,0,0,0,1
GO:0000010,0,2,1,2
GO:0000014,0,3,2,1
GO:0000018,2,4,1,1
GO:0000022,124,58,33,45
GO:0000023,0,1,1,0
GO:0000026,1,1,1,0
GO:0000027,0,1,0,2
GO:0000028,2,0,2,2
GO:0000030,4,6,3,1
GO:0000036,1,1,0,1
GO:0000038,6,7,17,4
GO:0000041,10,16,4,7
GO:0000042,1,0,0,1
GO:0000045,4,5,5,2
GO:0000046,3,2,3,0
GO:0000049,7,3,3,4
GO:0000050,1,1,1,0
GO:0000052,1,0,0,0
GO:0000053,0,1,1,0
GO:0000054,0,2,0,1
GO:0000055,0,2,0,1
GO:0000059,1,2,0,0
GO:0000060,2,1,0,0
GO:0000062,2,8,4,5
GO:0000064,1,2,0,0
GO:0000066,1,1,0,0
GO:0000070,14,24,13,6
GO:0000072,2,5,0,2
GO:0000075,47,60,32,38
GO:0000076,2,2,2,0
GO:0000077,42,48,21,33
GO:0000079,3,5,2,2
GO:0000080,7,4,0,1
GO:0000082,16,13,8,9
GO:0000083,1,1,3,0
GO:0000084,14,5,10,6
GO:0000085,1,2,0,0
GO:0000086,6,8,0,3
GO:0000087,0,2,0,0
GO:0000089,0,1,0,0
GO:0000090,7,6,2,2
GO:0000091,0,1,0,0
GO:0000092,1,2,0,0
GO:0000096,11,11,5,9
GO:0000097,4,3,3,3
GO:0000098,1,0,1,3
GO:0000099,3,1,0,0
GO:0000101,3,1,0,0
GO:0000103,1,0,0,0
GO:0000104,2,5,0,0
GO:0000109,1,3,0,0
GO:0000110,0,2,0,0
GO:0000114,0,2,0,0
GO:0000115,0,1,1,0
GO:0000118,12,15,5,4
GO:0000120,0,1,1,0
GO:0000122,39,53,19,25
GO:0000123,23,26,8,14
GO:0000124,6,10,5,8
GO:0000125,0,2,3,2
GO:0000126,0,0,1,0
GO:0000131,1,0,2,0
GO:0000132,1,1,2,1
GO:0000133,0,0,1,0
GO:0000137,2,3,0,1
GO:0000138,1,1,3,1
GO:0000139,27,53,47,16
GO:0000145,2,5,0,0
GO:0000146,11,3,0,3
GO:0000147,1,0,0,0
GO:0000148,0,0,1,0
GO:0000149,4,5,6,1
GO:0000150,0,2,0,1
GO:0000151,32,31,15,15
GO:0000152,10,12,2,5
GO:0000153,1,3,1,1
GO:0000154,4,4,3,1
GO:0000159,5,3,0,1
GO:0000160,0,1,1,0
GO:0000164,0,2,1,0
GO:0000165,15,21,11,11
GO:0000166,94,100,76,53
GO:0000171,0,1,0,0
GO:0000172,0,1,0,0
GO:0000175,7,5,1,2
GO:0000176,8,2,1,2
