Sample	gc_peaks	mean_kmer_freq	kmer_peaks	est_genome_size
Undetermined_S0_R1_kat.hist	0	339	2	3515309
Undetermined_S0_R1_post-trimming.kat.hist	0	259	1	1106113
Undetermined_S0_R2_kat.hist	0	239	1	1595906
Undetermined_S0_R2_post-trimming.kat.hist	0	251	1	1070219
kat.hist	0	0	0	0
tick_1_S1_R1_post-trimming.kat.hist	0	49	4	2896471263
tick_1_S1_R2_first1Mreads_kat.hist	0	0	0	0
tick_1_S1_R2_post-trimming.kat.hist	0	47	4	2859742861
tick_1_S1_first1Mreads_post-normalization_R1	0	0	0	0
tick_1_S1_first1Mreads_post-normalization_R1.kat.hist	0	0	0	0
tick_1_S1_first1Mreads_post-normalization_R2	0	0	0	0
tick_1_S1_first1Mreads_post-normalization_R2.kat.hist	0	0	0	0
tick_1_S1_first1Mreads_pre-normalization_R1	0	0	0	0
tick_1_S1_first1Mreads_pre-normalization_R1.kat.hist	0	0	0	0
tick_1_S1_first1Mreads_pre-normalization_R2	0	0	0	0
tick_1_S1_first1Mreads_pre-normalization_R2.kat.hist	0	0	0	0
