PB.2.2|100_0|path0:1-3956(+)|HQ_samplevTBMHwNo|cb1004_c23/f4p4/4038	6945.ISCW010054-PA	5.1e-164	584.3		GO:0003674,GO:0003824,GO:0004843,GO:0006464,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0009987,GO:0016567,GO:0016579,GO:0016787,GO:0019538,GO:0019783,GO:0032446,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0070011,GO:0070646,GO:0070647,GO:0071704	K11833		artNOG[6]	0331P@artNOG,09UJV@biNOG,0V5J1@meNOG,0XP8T@NOG,12NIM@opiNOG,KOG1868@euNOG	NA|NA|NA	O	ubiquitin carboxyl-terminal hydrolase
PB.5.1|1002_0|path0:1-2075(+)|HQ_samplevTBMHwNo|cb10476_c984/f2p2/2115	6945.ISCW012983-PA	9.4e-64	250.4					artNOG[6]	0323P@artNOG,0A0I6@biNOG,0IGTA@euNOG,0VBEC@meNOG,0XSVY@NOG,12SW1@opiNOG	NA|NA|NA	S	Copper/zinc superoxide dismutase (SODC)
PB.6.2|1002_2|path0:1-2764(+)|HQ_samplevTBMHwNo|cb10476_c3731/f2p2/2859	6945.ISCW004253-PA	3.1e-179	634.4		GO:0006810,GO:0006897,GO:0006909,GO:0008150,GO:0016192,GO:0044699,GO:0044765,GO:0051179,GO:0051234	K07561		artNOG[6]	034EP@artNOG,09VNA@biNOG,0V6MB@meNOG,12R5M@opiNOG,COG1736@NOG,KOG2648@euNOG	NA|NA|NA	J	Diphthamide biosynthesis protein 1
PB.7.1|1003_0|path0:1-2326(+)|HQ_samplevTBMHwNo|cb10476_c151576/f59p17/2360	6945.ISCW018346-PA	1.4e-44	186.8	VHA16	GO:0000220,GO:0002165,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005886,GO:0006403,GO:0006810,GO:0006811,GO:0006812,GO:0006818,GO:0007275,GO:0007444,GO:0007472,GO:0007476,GO:0007552,GO:0007560,GO:0008150,GO:0008324,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015672,GO:0015931,GO:0015988,GO:0015991,GO:0015992,GO:0016020,GO:0016469,GO:0016471,GO:0022857,GO:0022890,GO:0022891,GO:0022892,GO:0031090,GO:0032501,GO:0032502,GO:0032991,GO:0033036,GO:0033176,GO:0033177,GO:0033179,GO:0033181,GO:0033227,GO:0034220,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0044765,GO:0044767,GO:0045169,GO:0048513,GO:0048563,GO:0048569,GO:0048707,GO:0048731,GO:0048736,GO:0048737,GO:0048856,GO:0050657,GO:0050658,GO:0051179,GO:0051234,GO:0051236,GO:0055085,GO:0071702,GO:0071705,GO:0071944	K02155		artNOG[6]	036GA@artNOG,0A6MM@biNOG,0VHFR@meNOG,13PSN@opiNOG,COG0636@NOG,KOG0232@euNOG	NA|NA|NA	C	16 kDa proteolipid subunit
PB.8.1|1004_0|path0:1-2344(+)|HQ_samplevTBMHwNo|cb10476_c310/f6p5/2214	31033.ENSTRUP00000031848	1.6e-135	488.8		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0012505,GO:0016020,GO:0031090,GO:0042175,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464	K11155		fiNOG[1]	09WQK@biNOG,0DI0D@chorNOG,0N35X@fiNOG,0V7P2@meNOG,12Q2F@opiNOG,1CSR3@veNOG,COG5056@NOG,KOG0380@euNOG	NA|NA|NA	I	diacylglycerol O-acyltransferase 1
PB.9.1|1004_0|path2:1-2434(+)|HQ_samplevTBMHwNo|cb10476_c1496/f2p3/2261	28377.ENSACAP00000013337	3.5e-40	172.2	DGAT1	GO:0000003,GO:0002790,GO:0003001,GO:0003674,GO:0003824,GO:0003846,GO:0004144,GO:0004772,GO:0005488,GO:0005504,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006629,GO:0006637,GO:0006638,GO:0006639,GO:0006641,GO:0006644,GO:0006650,GO:0006732,GO:0006793,GO:0006796,GO:0006810,GO:0007154,GO:0007267,GO:0007275,GO:0007276,GO:0007292,GO:0007444,GO:0008150,GO:0008152,GO:0008289,GO:0008374,GO:0008610,GO:0008654,GO:0009058,GO:0009914,GO:0009987,GO:0010817,GO:0010876,GO:0010883,GO:0010888,GO:0010941,GO:0012505,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0016411,GO:0016740,GO:0016746,GO:0016747,GO:0019432,GO:0019637,GO:0019915,GO:0019953,GO:0019992,GO:0022414,GO:0022607,GO:0023052,GO:0023061,GO:0030072,GO:0030073,GO:0031090,GO:0031224,GO:0031406,GO:0032501,GO:0032502,GO:0032504,GO:0032879,GO:0032940,GO:0033036,GO:0033293,GO:0034377,GO:0034379,GO:0035220,GO:0035336,GO:0035337,GO:0035383,GO:0036155,GO:0042175,GO:0042592,GO:0042886,GO:0042981,GO:0043067,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044700,GO:0044702,GO:0044707,GO:0044710,GO:0044763,GO:0044765,GO:0044767,GO:0045017,GO:0045477,GO:0046339,GO:0046460,GO:0046463,GO:0046474,GO:0046486,GO:0046879,GO:0046903,GO:0048477,GO:0048513,GO:0048519,GO:0048609,GO:0048731,GO:0048856,GO:0048878,GO:0050789,GO:0050794,GO:0050801,GO:0051179,GO:0051186,GO:0051234,GO:0051239,GO:0051641,GO:0051649,GO:0055081,GO:0055088,GO:0055089,GO:0065003,GO:0065005,GO:0065007,GO:0065008,GO:0071702,GO:0071704,GO:0071705,GO:0071825,GO:0071827,GO:0071840,GO:0090407,GO:0097006,GO:1901576,GO:2000241	K11155		meNOG[21]	09WQK@biNOG,0DI0D@chorNOG,0V7P2@meNOG,12Q2F@opiNOG,1CSR3@veNOG,COG5056@NOG,KOG0380@euNOG	NA|NA|NA	I	diacylglycerol O-acyltransferase 1
PB.11.1|1006_0|path1:1-3504(+)|HQ_samplevTBMHwNo|cb10476_c20198/f2p6/3582	6945.ISCW008644-PA	3.4e-103	382.1			K11866		artNOG[6]	0330N@artNOG,0A1DQ@biNOG,0VC9C@meNOG,12R34@opiNOG,COG1310@NOG,KOG2880@euNOG	NA|NA|NA	T	JAB_MPN
PB.12.1|1007_0|path0:1-2235(+)|HQ_samplevTBMHwNo|cb2433_c15/f14p3/2305	6945.ISCW021522-PA	2.6e-176	624.4	PGM2	GO:0003674,GO:0003824,GO:0004614,GO:0004615,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0008150,GO:0008152,GO:0009056,GO:0016052,GO:0016853,GO:0016866,GO:0016868,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901575	K01835,K15779		artNOG[6]	03365@artNOG,09XNJ@biNOG,0V8K9@meNOG,12RAR@opiNOG,COG1109@NOG,KOG1220@euNOG	NA|NA|NA	G	Phosphoglucomutase
PB.14.1|1009_0|path0:1-2247(+)|HQ_samplevTBMHwNo|cb10476_c543/f5p2/2304	6945.ISCW000028-PA	3.4e-261	906.4					artNOG[6]	035VX@artNOG,0A6BV@biNOG,0IVFM@euNOG,0VH6B@meNOG,113PF@NOG,13MFJ@opiNOG	NA|NA|NA		
PB.15.1|1009_0|path1:1-2244(+)|HQ_samplevTBMHwNo|cb10476_c615/f4p2/2295	6945.ISCW000028-PA	1.1e-190	672.2					artNOG[6]	035VX@artNOG,0A6BV@biNOG,0IVFM@euNOG,0VH6B@meNOG,113PF@NOG,13MFJ@opiNOG	NA|NA|NA		
PB.16.1|1009_0|path3:1-2408(+)|HQ_samplevTBMHwNo|cb10476_c4856/f6p3/2468	6945.ISCW000028-PA	4.4e-230	803.1					artNOG[6]	035VX@artNOG,0A6BV@biNOG,0IVFM@euNOG,0VH6B@meNOG,113PF@NOG,13MFJ@opiNOG	NA|NA|NA		
PB.17.1|1009_0|path4:1-2405(+)|HQ_samplevTBMHwNo|cb10476_c953/f2p1/2467	6945.ISCW000028-PA	1e-21	110.9					artNOG[6]	035VX@artNOG,0A6BV@biNOG,0IVFM@euNOG,0VH6B@meNOG,113PF@NOG,13MFJ@opiNOG	NA|NA|NA		
PB.19.1|10_0|path0:1-4437(+)|HQ_samplevTBMHwNo|cb10476_c76674/f3p1/4530	6945.ISCW018354-PA	3.6e-129	468.8	FG02130.1				opiNOG[43]	12Q27@opiNOG,COG1112@NOG,KOG1807@euNOG	NA|NA|NA	L	Zinc finger, NFX1-type containing 1
PB.20.1|1010_0|path0:1-2230(+)|HQ_samplevTBMHwNo|cb7801_c1/f5p4/2303	6945.ISCW021805-PA	7.8e-16	91.3		GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005811,GO:0008150,GO:0008152,GO:0016491,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0055114			meNOG[21]	09Z8W@biNOG,0VBEB@meNOG,12XSB@opiNOG,COG1028@NOG,KOG1201@euNOG	NA|NA|NA	Q	Dehydrogenase
PB.21.1|1010_0|path1:1-2228(+)|HQ_samplevTBMHwNo|cb7801_c2/f4p2/2299	6945.ISCW021805-PA	1.1e-187	662.1		GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005811,GO:0008150,GO:0008152,GO:0016491,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0055114			meNOG[21]	09Z8W@biNOG,0VBEB@meNOG,12XSB@opiNOG,COG1028@NOG,KOG1201@euNOG	NA|NA|NA	Q	Dehydrogenase
PB.23.1|1011_0|path0:1-3958(+)|HQ_samplevTBMHwNo|cb10476_c15156/f6p9/4024	7955.ENSDARP00000014955	1.5e-243	848.6	MAN2B1		K12311		fiNOG[1]	09Z8C@biNOG,0DKQJ@chorNOG,0MWCQ@fiNOG,0V9UI@meNOG,0XQMZ@NOG,12QNA@opiNOG,1CVJ0@veNOG,KOG1959@euNOG	NA|NA|NA	G	mannosidase, alpha, class 2B, member 1
