	query	seed_ortholog	evalue	score	predicted_name	go_terms	kegg_ko	bigg_reactions	tax_scope	eggnog_ogs	best_og	cog_cat	eggnog_hmmm_desc	cog_category_full
0	PB.1.1|0_0|path0:1-4610(+)|HQ_samplekLafXsSM|cb3267_c25794/f10p3/4681	6669.DappuP317413	3.899999999999999e-139	501.9	SIR2	GO:0003674,GO:0003824,GO:0004407,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0006325,GO:0006342,GO:0006355,GO:0006464,GO:0006476,GO:0006996,GO:0007275,GO:0007568,GO:0007584,GO:0007610,GO:0008134,GO:0008150,GO:0008152,GO:0008340,GO:0009605,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0009991,GO:0010033,GO:0010259,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0010941,GO:0016043,GO:0016458,GO:0016568,GO:0016569,GO:0016570,GO:0016575,GO:0016787,GO:0016810,GO:0016811,GO:0017136,GO:0019213,GO:0019219,GO:0019222,GO:0019538,GO:0030534,GO:0031056,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031399,GO:0031667,GO:0031974,GO:0031981,GO:0032268,GO:0032501,GO:0032502,GO:0033043,GO:0033044,GO:0033558,GO:0034979,GO:0035065,GO:0035601,GO:0036211,GO:0040029,GO:0042221,GO:0042981,GO:0043067,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0044699,GO:0044707,GO:0044708,GO:0044763,GO:0044767,GO:0045471,GO:0045814,GO:0045892,GO:0045934,GO:0048149,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051171,GO:0051172,GO:0051246,GO:0051252,GO:0051253,GO:0051276,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0071840,GO:0080090,GO:0097305,GO:1901700,GO:1901983,GO:1902275,GO:2000112,GO:2000113,GO:2000756,GO:2001141	K11411		artNOG[6]	03274@artNOG,09TMC@biNOG,0V4KC@meNOG,12NA0@opiNOG,COG0846@NOG,KOG2684@euNOG	NA|NA|NA	B, K	Sir2 family	Chromatin Structure and dynamics; Transcription
1	PB.2.1|1000_0|path0:1-1881(+)|HQ_samplekLafXsSM|cb2326_c2/f3p0/1947	6945.ISCW024837-PA	2.1e-110	405.2			K13121		artNOG[6]	036QQ@artNOG,09ZNH@biNOG,0VAJ9@meNOG,0YN91@NOG,12Q8C@opiNOG,KOG1297@euNOG	NA|NA|NA	S	Folate-sensitive fragile site protein Fra10Ac1	Function Unknown
2	PB.10.1|1007_0|path0:1-1988(+)|HQ_samplekLafXsSM|cb3267_c86054/f2p2/2042	8128.ENSONIP00000006566	1.5e-31	143.3	SPAG7				fiNOG[1]	09WZ6@biNOG,0DI9Q@chorNOG,0IG7F@euNOG,0MXWI@fiNOG,0V7X7@meNOG,11H0W@NOG,13R8J@opiNOG,1CT07@veNOG	NA|NA|NA	S	sperm associated antigen 7	Function Unknown
3	PB.11.1|1008_0|path1:1-1875(+)|HQ_samplekLafXsSM|cb3267_c31581/f2p0/1937	7460.GB17141-PA	1.0999999999999996e-196	691.8		GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044710,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0070035,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K14777		artNOG[6]	033GF@artNOG,09TGA@biNOG,0S454@hymNOG,0SQ8F@inNOG,0V4FB@meNOG,0XQU7@NOG,12N7R@opiNOG,KOG0330@euNOG	NA|NA|NA	A	DEAD/DEAH box helicase	RNA processing and modification
4	PB.14.1|101_0|path0:1-3615(+)|HQ_samplekLafXsSM|cb3267_c5933/f7p1/3678	6945.ISCW009373-PA	7.799999999999998e-143	513.8		GO:0000003,GO:0001727,GO:0001729,GO:0002165,GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0006629,GO:0006643,GO:0006665,GO:0006672,GO:0006793,GO:0006796,GO:0006807,GO:0006928,GO:0007154,GO:0007165,GO:0007275,GO:0007276,GO:0007280,GO:0007431,GO:0007435,GO:0007444,GO:0007472,GO:0007476,GO:0007552,GO:0007559,GO:0007560,GO:0007602,GO:0008150,GO:0008152,GO:0008219,GO:0008354,GO:0009314,GO:0009416,GO:0009581,GO:0009582,GO:0009583,GO:0009605,GO:0009628,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009987,GO:0012501,GO:0016020,GO:0016265,GO:0016271,GO:0016301,GO:0016310,GO:0016477,GO:0016740,GO:0016772,GO:0017050,GO:0019953,GO:0022412,GO:0022414,GO:0022612,GO:0023052,GO:0030258,GO:0032501,GO:0032502,GO:0032504,GO:0035070,GO:0035071,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035272,GO:0040011,GO:0044237,GO:0044238,GO:0044255,GO:0044464,GO:0044699,GO:0044700,GO:0044702,GO:0044707,GO:0044710,GO:0044763,GO:0044767,GO:0046834,GO:0048102,GO:0048513,GO:0048563,GO:0048569,GO:0048609,GO:0048610,GO:0048707,GO:0048731,GO:0048732,GO:0048736,GO:0048737,GO:0048856,GO:0048870,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051606,GO:0051674,GO:0051716,GO:0065007,GO:0071704,GO:0071944,GO:1901564	K04715		artNOG[6]	034KW@artNOG,09UKX@biNOG,0V5KB@meNOG,12NTX@opiNOG,COG1597@NOG,KOG1115@euNOG	NA|NA|NA	I, T	ceramide kinase	Lipid metabolism; Signal Transduction
5	PB.15.1|1011_0|path0:1-1879(+)|HQ_samplekLafXsSM|cb6835_c2/f4p2/1934	7739.JGI121310	4.899999999999999e-35	154.8	MAEL	GO:0000003,GO:0000122,GO:0000226,GO:0000279,GO:0000578,GO:0000785,GO:0000803,GO:0000902,GO:0000975,GO:0001067,GO:0001741,GO:0003002,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0006139,GO:0006259,GO:0006304,GO:0006305,GO:0006306,GO:0006355,GO:0006357,GO:0006403,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007010,GO:0007017,GO:0007028,GO:0007049,GO:0007097,GO:0007126,GO:0007127,GO:0007128,GO:0007129,GO:0007140,GO:0007163,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007292,GO:0007308,GO:0007309,GO:0007310,GO:0007312,GO:0007314,GO:0007315,GO:0007316,GO:0007317,GO:0007350,GO:0007351,GO:0007389,GO:0008104,GO:0008150,GO:0008152,GO:0008298,GO:0008358,GO:0008595,GO:0009566,GO:0009653,GO:0009790,GO:0009798,GO:0009880,GO:0009889,GO:0009890,GO:0009892,GO:0009948,GO:0009950,GO:0009952,GO:0009953,GO:0009987,GO:0009994,GO:0010468,GO:0010528,GO:0010529,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0010941,GO:0016043,GO:0016070,GO:0016325,GO:0016458,GO:0019094,GO:0019219,GO:0019222,GO:0019827,GO:0019953,GO:0021700,GO:0022402,GO:0022403,GO:0022412,GO:0022414,GO:0022607,GO:0030154,GO:0030529,GO:0030718,GO:0030722,GO:0030849,GO:0030951,GO:0030952,GO:0031023,GO:0031047,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032259,GO:0032501,GO:0032502,GO:0032504,GO:0032879,GO:0032989,GO:0032991,GO:0033036,GO:0033391,GO:0033554,GO:0034587,GO:0034641,GO:0034660,GO:0035282,GO:0035770,GO:0040008,GO:0040023,GO:0040029,GO:0042981,GO:0043046,GO:0043066,GO:0043067,GO:0043069,GO:0043170,GO:0043186,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043412,GO:0043414,GO:0043565,GO:0044085,GO:0044087,GO:0044212,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044702,GO:0044707,GO:0044728,GO:0044763,GO:0044767,GO:0045165,GO:0045495,GO:0045595,GO:0045596,GO:0045892,GO:0045934,GO:0045995,GO:0046483,GO:0046620,GO:0048232,GO:0048468,GO:0048469,GO:0048471,GO:0048477,GO:0048519,GO:0048523,GO:0048599,GO:0048600,GO:0048609,GO:0048610,GO:0048856,GO:0048863,GO:0048864,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051093,GO:0051128,GO:0051171,GO:0051172,GO:0051179,GO:0051234,GO:0051239,GO:0051252,GO:0051253,GO:0051276,GO:0051321,GO:0051324,GO:0051640,GO:0051641,GO:0051647,GO:0051649,GO:0051656,GO:0051663,GO:0051716,GO:0060147,GO:0060255,GO:0060281,GO:0060284,GO:0060293,GO:0060341,GO:0060548,GO:0060810,GO:0060811,GO:0060964,GO:0060966,GO:0060968,GO:0065007,GO:0070192,GO:0070727,GO:0071547,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:2000026,GO:2000112,GO:2000113,GO:2000241,GO:2001141	K18411		meNOG[21]	0A26E@biNOG,0DGCQ@chorNOG,0INZ4@euNOG,0VDU9@meNOG,11Z8I@NOG,13MBB@opiNOG	NA|NA|NA	K	maelstrom homolog (Drosophila)	Transcription
6	PB.18.1|1015_0|path0:1-1877(+)|HQ_samplekLafXsSM|cb6919_c0/f3p2/1932	6945.ISCW013308-PA	6.199999999999998e-179	632.9		GO:0003674,GO:0003824,GO:0004742,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005811,GO:0005967,GO:0006082,GO:0006084,GO:0006085,GO:0006086,GO:0006090,GO:0006637,GO:0006732,GO:0006793,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0016407,GO:0016417,GO:0016418,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0030523,GO:0031974,GO:0032787,GO:0032991,GO:0035383,GO:0035384,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043234,GO:0043436,GO:0044237,GO:0044249,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044710,GO:0045254,GO:0051186,GO:0051188,GO:0070013,GO:0071616,GO:0071704,GO:1901576	K00627		artNOG[6]	033F4@artNOG,09WCG@biNOG,0V7AX@meNOG,12PUW@opiNOG,COG0508@NOG,KOG0557@euNOG	NA|NA|NA	C	acetyltransferase component of pyruvate dehydrogenase	Energy production and conversion
7	PB.19.1|1016_0|path0:1-2898(+)|HQ_samplekLafXsSM|cb3267_c12832/f11p8/2821	121225.PHUM336860-PA	4.499999999999997e-223	780.0	CAT	GO:0000302,GO:0002682,GO:0003674,GO:0003824,GO:0004096,GO:0004601,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0005886,GO:0006950,GO:0006979,GO:0007155,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008340,GO:0009987,GO:0010035,GO:0010259,GO:0016020,GO:0016209,GO:0016337,GO:0016339,GO:0016491,GO:0016684,GO:0020037,GO:0022610,GO:0032501,GO:0032502,GO:0035206,GO:0042127,GO:0042221,GO:0042542,GO:0042579,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044707,GO:0044710,GO:0044763,GO:0044767,GO:0046906,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051239,GO:0055114,GO:0065007,GO:0071944,GO:0097159,GO:1901363,GO:1901700	K03781		artNOG[6]	03370@artNOG,0A3JP@biNOG,0SQ0A@inNOG,0VEEY@meNOG,12Q4B@opiNOG,COG0753@NOG,KOG0047@euNOG	NA|NA|NA	P	Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide (By similarity)	Inorganic ion transport and metabolism
8	PB.19.3|1016_0|path0:1-2040(+)|HQ_samplekLafXsSM|cb3267_c82465/f2p0/1839	7955.ENSDARP00000110773	1.2e-06	60.5					meNOG[21]	0AB6P@biNOG,0DWWA@chorNOG,0J4HI@euNOG,0VN73@meNOG,126A9@NOG,146HB@opiNOG,1D63U@veNOG	NA|NA|NA			
9	PB.20.2|1016_0|path1:1-2676(+)|HQ_samplekLafXsSM|cb3267_c8158/f4p3/2775	121225.PHUM336860-PA	4.399999999999999e-223	780.0	CAT	GO:0000302,GO:0002682,GO:0003674,GO:0003824,GO:0004096,GO:0004601,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0005886,GO:0006950,GO:0006979,GO:0007155,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008340,GO:0009987,GO:0010035,GO:0010259,GO:0016020,GO:0016209,GO:0016337,GO:0016339,GO:0016491,GO:0016684,GO:0020037,GO:0022610,GO:0032501,GO:0032502,GO:0035206,GO:0042127,GO:0042221,GO:0042542,GO:0042579,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044707,GO:0044710,GO:0044763,GO:0044767,GO:0046906,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051239,GO:0055114,GO:0065007,GO:0071944,GO:0097159,GO:1901363,GO:1901700	K03781		artNOG[6]	03370@artNOG,0A3JP@biNOG,0SQ0A@inNOG,0VEEY@meNOG,12Q4B@opiNOG,COG0753@NOG,KOG0047@euNOG	NA|NA|NA	P	Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide (By similarity)	Inorganic ion transport and metabolism
